2024-12-20 10:23:29.978 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-12-20 10:23:29.978 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-12-20 10:23:29.978 [info] Experiment 'pythonTestAdapter' is active
2024-12-20 10:23:29.978 [info] Native locator: Refresh started
2024-12-20 10:23:29.978 [info] Native locator: Refresh started
2024-12-20 10:23:29.978 [info] > pyenv which python
2024-12-20 10:23:29.978 [info] cwd: .
2024-12-20 10:23:30.389 [info] Native locator: Refresh finished in 5869 ms
2024-12-20 10:23:30.403 [info] Python interpreter path: ./venv/bin/python
2024-12-20 10:23:33.665 [info] > . ./venv/bin/activate && echo 'e8b39361-0157-4923-80e1-22d70d46dee6' && python ~/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/printEnvVariables.py
2024-12-20 10:23:33.665 [info] shell: bash
2024-12-20 10:23:33.998 [info] > /usr/bin/python3 ~/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/printEnvVariables.py
2024-12-20 10:23:33.998 [info] shell: bash
2024-12-20 10:23:34.154 [info] Setting environment variable VIRTUAL_ENV in collection to /home/mjavad/Desktop/heyd/venv {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-12-20 10:23:34.154 [info] Setting environment variable VIRTUAL_ENV_PROMPT in collection to (venv)  {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-12-20 10:23:34.154 [info] Prepending environment variable PS1 in collection with (venv)  {"applyAtShellIntegration":true,"applyAtProcessCreation":false}
2024-12-20 10:23:34.154 [info] Prepending environment variable PATH in collection with /root/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/deactivate/bash:/home/mjavad/Desktop/heyd/venv/bin: {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-12-20 10:23:34.165 [info] Send text to terminal: /usr/bin/python3 /root/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/printEnvVariablesToFile.py /root/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/deactivate/bash/envVars.txt
2024-12-20 10:23:37.439 [info] Starting Pylance language server.
2024-12-20 10:39:47.070 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:39:48.180 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:40:00.349 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/config/urls.py
2024-12-20 10:40:01.927 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/config/urls.py
2024-12-20 10:42:31.523 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 10:44:18.274 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:44:23.925 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:44:30.219 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:44:31.677 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:44:37.858 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:44:40.257 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 10:47:49.484 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/forms.py
2024-12-20 10:48:01.586 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/forms.py
2024-12-20 10:49:06.472 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 10:49:15.526 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 10:49:17.652 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 10:49:20.718 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 10:49:47.209 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:01:09.137 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/models.py
2024-12-20 11:02:41.582 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:02:52.404 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 11:03:01.602 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/urls.py
2024-12-20 11:03:46.002 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:03:48.864 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:03:53.402 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:03:55.269 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:04:04.617 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:04:26.117 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:04:31.768 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:04:33.959 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:05:23.222 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:05:38.029 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:05:56.426 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:06:01.478 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:06:17.089 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:06:19.033 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:06:42.298 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:06:47.646 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:07:43.491 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:07:46.636 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:07:58.970 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:21:08.837 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/config/settings.py
2024-12-20 11:23:22.618 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
2024-12-20 11:25:13.842 [info] Discover tests for workspace name: heyd - uri: /home/mjavad/Desktop/heyd/heyd/apps/users/views.py
