2024-12-22 19:19:54.654 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-12-22 19:19:54.654 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-12-22 19:19:54.654 [info] Experiment 'pythonTestAdapter' is active
2024-12-22 19:19:54.654 [info] Native locator: Refresh started
2024-12-22 19:19:54.654 [info] Native locator: Refresh started
2024-12-22 19:19:54.654 [info] Native locator: Refresh started
2024-12-22 19:19:55.818 [info] Native locator: Refresh finished in 5738 ms
2024-12-22 19:19:55.930 [info] > pyenv which python
2024-12-22 19:19:55.930 [info] cwd: .
2024-12-22 19:19:56.062 [info] Python interpreter path: ./venv/bin/python
2024-12-22 19:20:06.635 [info] > . ./venv/bin/activate && echo 'e8b39361-0157-4923-80e1-22d70d46dee6' && python ~/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/printEnvVariables.py
2024-12-22 19:20:06.635 [info] shell: bash
2024-12-22 19:20:07.275 [info] > /bin/python3 ~/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/printEnvVariables.py
2024-12-22 19:20:07.276 [info] shell: bash
2024-12-22 19:20:07.789 [info] Setting environment variable VIRTUAL_ENV in collection to /home/mjavad/Desktop/heyd-w/venv {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-12-22 19:20:07.789 [info] Setting environment variable VIRTUAL_ENV_PROMPT in collection to (venv)  {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-12-22 19:20:07.789 [info] Prepending environment variable PS1 in collection with (venv)  {"applyAtShellIntegration":true,"applyAtProcessCreation":false}
2024-12-22 19:20:07.789 [info] Prepending environment variable PATH in collection with /root/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/deactivate/bash:/home/mjavad/Desktop/heyd-w/venv/bin: {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-12-22 19:20:07.804 [info] Send text to terminal: /bin/python3 /root/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/printEnvVariablesToFile.py /root/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python_files/deactivate/bash/envVars.txt
2024-12-22 19:20:14.450 [info] Starting Pylance language server.
2024-12-22 19:27:30.389 [info] Discover tests for workspace name: heyd-w - uri: /home/mjavad/Desktop/heyd-w/settings.py
